[library] 6426 panels to classify (0 already done) with qwen/qwen3-vl-8b-instruct, concurrency 24
[library] 25/6426 classified (0 failed, 5s)
[library] 50/6426 classified (0 failed, 8s)
[library] 75/6426 classified (0 failed, 11s)
[library] 100/6426 classified (0 failed, 14s)
[library] 125/6426 classified (0 failed, 18s)
[library] 150/6426 classified (20 failed, 19s)
[library] 175/6426 classified (39 failed, 20s)
[library] 200/6426 classified (60 failed, 21s)
[library] 225/6426 classified (78 failed, 22s)
[library] 250/6426 classified (97 failed, 23s)
[library] 275/6426 classified (104 failed, 26s)
[library] 300/6426 classified (121 failed, 26s)
[library] 325/6426 classified (140 failed, 27s)
[library] 350/6426 classified (161 failed, 27s)
[library] 375/6426 classified (184 failed, 28s)
[library] 400/6426 classified (205 failed, 28s)
[library] 425/6426 classified (227 failed, 28s)
[library] 450/6426 classified (248 failed, 29s)
[library] 475/6426 classified (265 failed, 30s)
[library] 500/6426 classified (284 failed, 31s)
[library] 525/6426 classified (308 failed, 31s)
[library] 550/6426 classified (333 failed, 31s)
[library] 575/6426 classified (353 failed, 31s)
[library] 600/6426 classified (377 failed, 31s)
[library] 625/6426 classified (401 failed, 32s)
[library] 650/6426 classified (425 failed, 32s)
[library] 675/6426 classified (449 failed, 32s)
[library] 700/6426 classified (471 failed, 32s)
[library] 725/6426 classified (495 failed, 32s)
[library] 750/6426 classified (518 failed, 32s)
[library] 775/6426 classified (543 failed, 33s)
[library] 800/6426 classified (566 failed, 33s)
[library] 825/6426 classified (590 failed, 33s)
[library] 850/6426 classified (614 failed, 33s)
[library] 875/6426 classified (639 failed, 33s)
[library] 900/6426 classified (664 failed, 33s)
[library] 925/6426 classified (689 failed, 33s)
[library] 950/6426 classified (714 failed, 33s)
[library] 975/6426 classified (739 failed, 33s)
[library] 1000/6426 classified (764 failed, 34s)
[library] 1025/6426 classified (789 failed, 34s)
[library] 1050/6426 classified (814 failed, 34s)
[library] 1075/6426 classified (838 failed, 34s)
[library] 1100/6426 classified (863 failed, 34s)
[library] 1125/6426 classified (888 failed, 34s)
[library] 1150/6426 classified (913 failed, 34s)
[library] 1175/6426 classified (938 failed, 34s)
[library] 1200/6426 classified (963 failed, 35s)
[library] 1225/6426 classified (988 failed, 35s)
[library] 1250/6426 classified (1013 failed, 35s)
[library] 1275/6426 classified (1038 failed, 35s)
[library] 1300/6426 classified (1063 failed, 35s)
[library] 1325/6426 classified (1086 failed, 35s)
[library] 1350/6426 classified (1111 failed, 35s)
[library] 1375/6426 classified (1136 failed, 35s)
[library] 1400/6426 classified (1161 failed, 35s)
[library] 1425/6426 classified (1186 failed, 36s)
[library] 1450/6426 classified (1211 failed, 36s)
[library] 1475/6426 classified (1236 failed, 36s)
[library] 1500/6426 classified (1261 failed, 36s)
[library] 1525/6426 classified (1286 failed, 36s)
[library] 1550/6426 classified (1311 failed, 36s)
